date,zone,ndvi_mean,ndvi_median,ndvi_std,ndvi_p25,ndvi_p75,ndvi_min,ndvi_max,height_mean_cm,height_median_cm,height_p25_cm,height_p75_cm,scene_key,valid_pixels,total_pixels,valid_fraction
7/25/2023,N,0.817305744,0.873369694,0.109584868,0.810804963,0.887037873,0.329325318,0.915870667,71.73057556,77.3369751,71.08049774,78.70378876,2023-07-25_6670275,59210,59210,1
7/27/2023,N,0.455504894,0.448497027,0.043063112,0.428514421,0.474994957,0.257612199,0.794154584,35.55049515,34.84970093,32.85144043,37.49949646,2023-07-27_6675628,59210,59210,1
7/28/2023,N,0.420536876,0.412487179,0.043886878,0.393443614,0.439526558,0.251540869,0.778711975,32.05368423,31.24871826,29.34436035,33.95265198,2023-07-28_6677288,59210,59210,1
8/4/2023,N,0.504886329,0.501152635,0.064369686,0.460653156,0.546532094,0.208776578,0.735893369,40.48863602,40.11526489,36.06531525,44.65320969,2023-08-04_6692596,59210,59210,1
8/5/2023,N,0.586741686,0.58590585,0.060905781,0.548932254,0.625794888,0.248307958,0.754095197,48.67416,48.5905838,44.89322281,52.57948303,2023-08-05_6694615,59210,59210,1
8/6/2023,N,0.637697518,0.641327381,0.064195782,0.599415004,0.680606604,0.287455589,0.795721471,53.76974869,54.13273621,49.94150162,58.06066132,2023-08-06_6697546,59210,59210,1
8/7/2023,N,0.679974437,0.684234023,0.062287766,0.646804452,0.721428156,0.29771331,0.820758462,57.99743652,58.42340088,54.68044281,62.14281464,2023-08-07_6699914,59210,59210,1
8/9/2023,N,0.786004066,0.797562242,0.05416625,0.768853664,0.819586337,0.318326682,0.877528071,68.60040283,69.75622559,66.88536835,71.95863342,2023-08-09_6702199,59210,59210,1
8/11/2023,N,0.761231124,0.769871712,0.046233695,0.748241186,0.789172471,0.337892711,0.853292823,66.12312317,66.98717499,64.82411957,68.91725159,2023-08-11_6706583,59210,59210,1
8/13/2023,N,0.868323147,0.880357862,0.048095811,0.860779583,0.893833756,0.335330665,0.929661155,76.83231354,78.03578186,76.07795715,79.38337708,2023-08-13_6710264,59210,59210,1
8/14/2023,N,0.860009372,0.871922016,0.045802597,0.8553859,0.882332861,0.373036146,0.917408407,76.00094604,77.19219971,75.53858948,78.233284,2023-08-14_6712256,59210,59210,1
8/15/2023,N,0.844797671,0.857901812,0.048085541,0.838783443,0.869471252,0.323921233,0.898651958,74.47975922,75.79018402,73.87834167,76.9471283,2023-08-15_6716539,59210,59210,1
8/17/2023,N,0.886696517,0.896735787,0.039626781,0.882900655,0.904860556,0.356116235,0.953618586,78.66963959,79.67357635,78.29006195,80.48605347,2023-08-17_6718459,59210,59210,1
8/18/2023,N,0.836900175,0.847713232,0.040024951,0.833418965,0.855788291,0.384215087,0.879545152,73.6900177,74.77132416,73.34189606,75.5788269,2023-08-18_6720326,59210,59210,1
8/20/2023,N,0.867610753,0.886054993,0.051571969,0.850224137,0.90135622,0.418506861,0.945140779,76.76108551,78.60549927,75.02241516,80.13562012,2023-08-20_6726517,59210,59210,1
8/26/2023,N,0.871743798,0.881020308,0.036367949,0.868757904,0.888732433,0.421249539,0.913523674,77.17436981,78.10202789,76.87578583,78.87324524,2023-08-26_6738125,59210,59210,1
8/28/2023,N,0.900023758,0.908060193,0.035052374,0.897031605,0.915726066,0.451724768,0.945652246,80.00236511,80.80601501,79.70316315,81.57260132,2023-08-28_6739598,59210,59210,1
8/30/2023,N,0.872885048,0.882775366,0.038680241,0.86947602,0.890742302,0.375054866,0.920261443,77.28850555,78.27754211,76.94760132,79.07423401,2023-08-30_6743892,59210,59210,1
9/3/2023,N,0.856059134,0.865002394,0.037734557,0.853484929,0.872649252,0.362338871,0.896738291,75.60591125,76.50023651,75.34849548,77.2649231,2023-09-03_6752713,59210,59210,1
